stock_name,user_name,video_id,followers,views,likes,comments,shares
 (ACTS),milehightrading,6945616969500560646,172500,1221,55,2,4
 (APP),iamchanlo,6945610067903253766,32300,443,12,2,1
 (APP),theonlynaklas,6945617160127483141,86400,960,86,7,6
 (CAME),vinstock,6945488160184880389,43600,374,28,15,7
 (CAME),milehightrading,6945616969500560646,172500,1221,55,2,4
 (COIN),invest.stocks,6945183929368415494,109400,5084,285,21,13
 (DAY),ceowatchlist,6945601890348436741,520800,2664,122,12,15
 (DAY),surgeyyyy,6929638914747632901,283000,150200,20000,931,100
 (DAY),vinstock,6945488160184880389,43600,374,28,15,7
 (DAY),stockswings,6940030483480759557,61400,5693,163,29,9
 (JEFF),stockstrader,6924867648434097414,5439,374,8,1,0
 (JOIN),the_teacher17,6944430893675121925,8220,359,8,0,0
 (JOIN),investodaily,6945163169191021829,13500,521,25,5,3
 (ME),stockstv,6896942242049674501,2373,633,15,4,0
 (NASDAQ),profitsniper,6931992670873062661,7011,7114,124,9,7
 (NEWS),stockinvestors,6935593005105548549,22300,2962,70,11,17
 (NFT),sky_trades,6942885581789662469,81500,7534,254,9,26
 (NFT),chris.stocks,6945566404825337093,79100,532,54,4,0
 (NFT),bullsofwallstreet,6944824499795741958,23500,1497,63,4,2
 (NO),gd_investments,6945636913386622213,248900,1495,68,7,1
 (NOVEMBER),ceowatchlist,6945601890348436741,520800,2664,122,12,15
 (ONES),spacs.ai,6932620674951384326,28100,3161,129,36,41
 (PAID),hccapital,6945634956500585734,46500,91,5,0,0
 (PAID),llamas1115,6940026359137766662,797,192,6,10,2
 (PC),theonlynaklas,6945617160127483141,86400,960,86,7,6
 (SOON),stockswallet,6945449522604543238,18800,4226,134,18,20
 (TAB),llamas1115,6940026359137766662,797,192,6,10,2
 (THIS),stockrogue,6932552320605605125,42400,3529,89,16,2
 (THIS),coletrades,6939292324946119941,3521,1595,17,8,0
 (THIS),invest.stocks,6945183929368415494,109400,5084,285,21,13
 (THIS),thelaptoplegend,6934173585376431365,128800,7944,515,26,8
 (TILL),thetaclub,6929260998390041862,2328,2944,30,6,23
 (TILL),rudaman,6945236066513341701,3581,280,13,0,1
 (TIME),iamsirgime,6945563259076480262,2807,304,23,1,0
 (TOP),momentfinance,6937132561906846982,1724,267,6,0,0
 (WE),alertscapital,6945240921302764806,9999,615,9,0,0
 (YORK),highleyinvested,6945595637647871237,38600,807,119,5,5
"00NEARIANNE PHOSPHATE INC (DAN.V)
Word Searched: phosphate",stockvip,6926323575376858373,178900,91000,5667,261,645
"00YEINDIGO BOOKS & MUSIC INC. (IDG.TO)
Word Searched: books",slater_trades,6944712284455324933,32100,2938,51,6,1
"00YEREAL ESTATE AND ECOMMERCE S (RS.TO)
Word Searched: Ecommerce",alertscapital,6945240921302764806,9999,615,9,0,0
"1-800-FLOWERS.COM, Inc. (FLWS)
Word Searched: Flaws",marketafterhours,6945403619831336198,6039,256,14,3,3
111068 (SMA),stocktalk76,6945483647193500933,45600,963,43,3,6
117949 (ARK),mainstreetwolf,6945591070872849669,257600,2132,164,11,4
"13 WEEK TREASURY BILL (^IRX)
Word Searched: week",thestockhub,6945431832901029125,76400,10000,362,42,22
130729 (SOLD),tikstockkam,6945444646617156869,8305,6216,51,30,2
130729 (SOLD),llamas1115,6940026359137766662,797,192,6,10,2
130729 (SOLD),theonlynaklas,6945617160127483141,86400,960,86,7,6
130729 (SOLD),alertscapital,6945240921302764806,9999,615,9,0,0
14900 (HARD),stockrogue,6932552320605605125,42400,3529,89,16,2
15950 (TF),stocktalkk,6944905981134376198,1884,1368,29,10,2
180 Degree Capital Corp. (TURN),investwithruss,6945525511107906822,95400,2416,128,15,2
186910 (END),mr.investr,6945464564414827781,79400,12900,432,55,27
191253 (EMA),stocktalk76,6945483647193500933,45600,963,43,3,6
197004 (WOLF),hustlyinvest.com,6945599194455346437,55300,493,20,0,0
19955 (ETF),mainstreetwolf,6945591070872849669,257600,2132,164,11,4
19955 (ETF),stockinvestors,6935593005105548549,22300,2962,70,11,17
2075031 (RD),jefethestockguru,6945065513743633669,24800,2050,59,6,12
33352 (RENT),thebuyinking,6940646927092452614,536400,95500,8458,164,193
333656 (PRE),stockswallet,6945449522604543238,18800,4226,134,18,20
58911 (GOT),llamas1115,6940026359137766662,797,192,6,10,2
72884 (MAPS),investwithruss,6945525511107906822,95400,2416,128,15,2
890019 (IM),nimbletradingio,6945166115169455366,2687,393,18,2,4
890019 (IM),visaltrades,6945437295239630086,2416,258,4,1,0
890019 (IM),ceowatchlist,6945601890348436741,520800,2664,122,12,15
890019 (IM),llamas1115,6940026359137766662,797,192,6,10,2
890019 (IM),stockswings,6940030483480759557,61400,5693,163,29,9
890019 (IM),erikbotoss,6941779137254280453,4325,6085,138,57,12
890019 (IM),alertscapital,6945240921302764806,9999,615,9,0,0
ACADIA Pharmaceuticals Inc. (ACAD),jefethestockguru,6945065513743633669,24800,2050,59,6,12
"ACADIA Pharmaceuticals Inc. (ACAD)
Word Searched: Acadia",jefethestockguru,6945065513743633669,24800,2050,59,6,12
"ADVICENNE (ADVIC.PA)
Word Searched: advice",thebuyinking,6940646927092452614,536400,95500,8458,164,193
"AGFiQ U.S. Market Neutral Value (CHEP)
Word Searched: cheap",spacs.ai,6932620674951384326,28100,3161,129,36,41
"AIM RITE HOLDS CORP (AIMH)
Word Searched: holds",coletrades,6939292324946119941,3521,1595,17,8,0
"ALR TECHNOLOGIES INC (ALRT)
Word Searched: ALERT",rudaman,6945236066513341701,3581,280,13,0,1
"AMARA RAJA BATTERIES LTD. (AMARAJABAT.BO)
Word Searched: batteries",stockvip,6926323575376858373,178900,91000,5667,261,645
"AMC Entertainment Holdings, Inc (AMC)
Word Searched: Holding",bullishbetter,6945621193626029318,48300,219,9,0,0
"AMC Entertainment Holdings, Inc (AMC)
Word Searched: Holding",alertscapital,6945240921302764806,9999,615,9,0,0
"AMC Entertainment Holdings, Inc. (AMC)",oscarwulfff,6935241744531590406,8132,32200,1847,66,516
"AMC Entertainment Holdings, Inc. (AMC)",stockswallet,6945449522604543238,18800,4226,134,18,20
"AMC Entertainment Holdings, Inc. (AMC)",apexoptionstrading,6922275199069031686,1393,3019,19,3,2
"AMC Entertainment Holdings, Inc. (AMC)",matthewhirayama,6922270597711924486,7895,342000,15200,1263,1194
"AMC Entertainment Holdings, Inc. (AMC)",brunopamfilio,6933008593000156422,1291,3079,176,37,6
"AMMO, Inc. (POWW)
Word Searched: ammo",stockmarketuniversity,6945450100072221958,2999,829,17,2,1
"ANHUI WANWEI UPDATED HIGH-TECH  (600063.SS)
Word Searched: UPDATE",mr.investr,6945464564414827781,79400,12900,432,55,27
"ANHUI WANWEI UPDATED HIGH-TECH  (600063.SS)
Word Searched: Update",joeyrachwal,6945460330029976837,60000,1027,43,28,0
"ANHUI WANWEI UPDATED HIGH-TECH  (600063.SS)
Word Searched: Updated",investwithruss,6945525511107906822,95400,2416,128,15,2
"APRI (APRI)
Word Searched: APRIL",iamchanlo,6945610067903253766,32300,443,12,2,1
"APRI (APRI)
Word Searched: April",austinhankwitz,6945601739416538373,481300,111500,9635,258,2657
"APRI (APRI)
Word Searched: April",jefethestockguru,6945065513743633669,24800,2050,59,6,12
"ARK Next Generation Internet ET (ARKW)
Word Searched: internet",investwithruss,6945525511107906822,95400,2416,128,15,2
"ARK Space Exploration & Innovat (ARKX)
Word Searched: S",stockvip,6926323575376858373,178900,91000,5667,261,645
"ARK Space Exploration & Innovat (ARKX)
Word Searched: SPACE",theoptionlab,6935499890038541573,2188,1451,25,8,3
"ARK Space Exploration & Innovat (ARKX)
Word Searched: SPACE",marketmartians,6945424684720655621,8256,1211,15,0,0
"ARK Space Exploration & Innovat (ARKX)
Word Searched: s",luxuryequities,6944876366353403142,267900,8004,451,47,5
"AT&T Inc. (T)
Word Searched: AT T",investwithruss,6945525511107906822,95400,2416,128,15,2
"ATDED (ATDED)
Word Searched: added",stockmarket_507,6934532298616360198,4647,1986,52,6,8
"AVEO Pharmaceuticals, Inc. (AVEO)",jefethestockguru,6945065513743633669,24800,2050,59,6,12
AVG Technologies N.V. Ordinary  (AVG),stocktalk76,6945483647193500933,45600,963,43,3,6
"Academy Sports and Outdoors, In (ASO)
Word Searched: outdoor",stockmarketuniversity,6945450100072221958,2999,829,17,2,1
"Academy Sports and Outdoors, Inc. (ASO)",stockmarketuniversity,6945450100072221958,2999,829,17,2,1
"Accelerate Diagnostics, Inc. (AXDX)
Word Searched: ACCELERATE",dailystocktalk,6945628257312132358,66100,1132,64,13,7
"Advanced Micro Devices, Inc. (AMD)",theonlynaklas,6945617160127483141,86400,960,86,7,6
"AdvisorShares Trust AdvisorShar (MSOS)
Word Searched: advisor",alcidesvla,6943935323365805317,12900,84600,1033,242,199
"Affiliated Managers Group, Inc. (AMG)
Word Searched: affiliated",oscarwulfff,6935241744531590406,8132,32200,1847,66,516
"Alexandria Real Estate Equities, Inc. (ARE)",stockstok,6926183877455154438,5586,306,12,1,1
Alibaba Group Holding Limited (BABA),bullishbetter,6945621193626029318,48300,219,9,0,0
"Alibaba Group Holding Limited (BABA)
Word Searched: Group",profitsniper,6931992670873062661,7011,7114,124,9,7
"Allstate Corporation (The) (ALL)
Word Searched: FALL",stockstrader,6924867648434097414,5439,374,8,1,0
"Alphabet Inc. (GOOGL)
Word Searched: Google",ceowatchlist,6945601890348436741,520800,2664,122,12,15
"Aluminum MW U.S. Transaction Pr (AUP=F)
Word Searched: Transaction",ceowatchlist,6945601890348436741,520800,2664,122,12,15
"Aluminum MW U.S. Transaction Pr (AUP=F)
Word Searched: transaction",ceowatchlist,6945601890348436741,520800,2664,122,12,15
"Amazon.com, Inc. (AMZN)",stockstrader,6924867648434097414,5439,374,8,1,0
"Amazon.com, Inc. (AMZN)",theonlynaklas,6945617160127483141,86400,960,86,7,6
"American Outdoor Brands, Inc. (AOUT)
Word Searched: ABOUT",stockmarketuniversity,6945450100072221958,2999,829,17,2,1
"American Water Works Company, I (AWK)
Word Searched: AWS",theonlynaklas,6945617160127483141,86400,960,86,7,6
"Annaly Capital Management Inc (NLY)
Word Searched: only",alcidesvla,6943935323365805317,12900,84600,1033,242,199
"Annaly Capital Management Inc (NLY)
Word Searched: only",rudaman,6945236066513341701,3581,280,13,0,1
Antero Midstream Corporation (AM),the_teacher17,6944430893675121925,8220,359,8,0,0
Antero Midstream Corporation (AM),bullishbetter,6945621193626029318,48300,219,9,0,0
Antero Midstream Corporation (AM),mr.investr,6945464564414827781,79400,12900,432,55,27
Antero Midstream Corporation (AM),jefethestockguru,6945065513743633669,24800,2050,59,6,12
"Arch Resources, Inc. (ARCH)
Word Searched: March",mi_lion_king,6945602595364801798,5509,607,5,2,0
"Arch Resources, Inc. (ARCH)
Word Searched: March",mok.investments,6943426477228576005,4470,368,9,4,0
"Arch Resources, Inc. (ARCH)
Word Searched: March",mr.investr,6945464564414827781,79400,12900,432,55,27
"Arch Resources, Inc. (ARCH)
Word Searched: March",jefethestockguru,6945065513743633669,24800,2050,59,6,12
"Ares Management Corporation (ARES)
Word Searched: areas",milehightrading,6945616969500560646,172500,1221,55,2,4
"Asensus Surgical, Inc. (ASXC)
Word Searched: surgical",theonlynaklas,6945617160127483141,86400,960,86,7,6
Assured Guaranty Ltd. (AGO),tikstockkam,6945444646617156869,8305,6216,51,30,2
"AstroNova, Inc. (ALOT)",hccapital,6945634956500585734,46500,91,5,0,0
"AstroNova, Inc. (ALOT)",milehightrading,6945616969500560646,172500,1221,55,2,4
"Atlantica Sustainable Infrastru (AY)
Word Searched: SUSTAINABLE",dailystocktalk,6945628257312132358,66100,1132,64,13,7
"Atlantica Sustainable Infrastru (AY)
Word Searched: sustainable",hccapital,6945634956500585734,46500,91,5,0,0
"Aurora Cannabis Inc. (ACB)
Word Searched: Cannabis",highleyinvested,6945595637647871237,38600,807,119,5,5
"BAOTOU TOMORROW TECHNOLOGY CO L (600091.SS)
Word Searched: TOMORROW",matthewhirayama,6922270597711924486,7895,342000,15200,1263,1194
"BITFARMS LTD (BFARF)
Word Searched: Bitfarms",nickcomizio,6945625038724893958,3696,52,6,2,1
"Babcock & Wilcox Enterprises, I (BW)
Word Searched: Babcock",ceowatchlist,6945601890348436741,520800,2664,122,12,15
"Babcock & Wilcox Enterprises, I (BW)
Word Searched: Wilcox",ceowatchlist,6945601890348436741,520800,2664,122,12,15
"Babcock & Wilcox Enterprises, Inc. (BW)",ceowatchlist,6945601890348436741,520800,2664,122,12,15
"Bakkt BTC (USD) Monthly Future  (BTM=F)
Word Searched: Month",bullishbetter,6945621193626029318,48300,219,9,0,0
"Bakkt BTC (USD) Monthly Future  (BTM=F)
Word Searched: month",thebuyinking,6940646927092452614,536400,95500,8458,164,193
"Bakkt BTC (USD) Monthly Future  (BTM=F)
Word Searched: monthly",realstockmarket,6921738093380898053,3007,1978,56,2,4
"Bank Rakyat Indonesia (Persero) (BBRI.JK)
Word Searched: R I P",brunopamfilio,6933008593000156422,1291,3079,176,37,6
"Be Think, Solve, Execute SpA Az (DAF.SG)
Word Searched: EXECUTE",moneylinemark,6944471091821808901,720200,35500,2096,62,25
"Bed Bath & Beyond Inc. (BBBY)
Word Searched: bath",iamsirgime,6945563259076480262,2807,304,23,1,0
"Big Lots, Inc. (BIG)",stockinvestors,6935593005105548549,22300,2962,70,11,17
"Bio-Rad Laboratories, Inc. (BIO)",stockswallet,6945449522604543238,18800,4226,134,18,20
"Bio-Rad Laboratories, Inc. (BIO)",stockshub,6930999772882980102,83000,4007,121,15,2
"Bio-Rad Laboratories, Inc. (BIO)",mikeoptions,6945623755754343686,7200,153,10,1,0
"Bio-Rad Laboratories, Inc. (BIO)",instynct,6906718980950543621,1382,258,28,0,0
"Bio-Rad Laboratories, Inc. (BIO)",optionscapital,6940077432586194182,17300,1324,37,2,2
"Bio-Rad Laboratories, Inc. (BIO)",investodaily,6945163169191021829,13500,521,25,5,3
"Bio-Rad Laboratories, Inc. (BIO)",alertscapital,6945240921302764806,9999,615,9,0,0
"Bio-Rad Laboratories, Inc. (BIO)",bugs.money,6945631261117385989,3946,232,12,3,0
Bio-Techne Corporation (TECH),theonlynaklas,6945617160127483141,86400,960,86,7,6
Bio-Techne Corporation (TECH),mr.investr,6945464564414827781,79400,12900,432,55,27
Bio-Techne Corporation (TECH),dailystocktalk,6945628257312132358,66100,1132,64,13,7
"Bitcoin USD (BTC-USD)
Word Searched: BITC U",finance_by_derian,6931054970611453190,2767,2108,58,6,14
"Bitcoin USD (BTC-USD)
Word Searched: BITCOIN",stockshub,6930999772882980102,83000,4007,121,15,2
"Bitcoin USD (BTC-USD)
Word Searched: Bitcoin",austinhankwitz,6945601739416538373,481300,111500,9635,258,2657
"Bitcoin USD (BTC-USD)
Word Searched: bitcoin",finance_by_derian,6931054970611453190,2767,2108,58,6,14
"Bitcoin USD (BTC-USD)
Word Searched: bitcoin",lifeofcarlos0,6923009819561479430,1360,911,44,10,4
"Bitcoin USD (BTC-USD)
Word Searched: bitcoin",coletrades,6939292324946119941,3521,1595,17,8,0
Bitfarms Ltd. (BFARF),nickcomizio,6945625038724893958,3696,52,6,2,1
"Blink Charging Co. Common Stock (BLNK)
Word Searched: blank",benpryor_,6943688165102308614,255500,21800,1726,33,5
"Boeing Company (The) (BA)
Word Searched: COMPANY",dailystocktalk,6945628257312132358,66100,1132,64,13,7
"Boeing Company (The) (BA)
Word Searched: company",realstockmarket,6921738093380898053,3007,1978,56,2,4
"Boeing Company (The) (BA)
Word Searched: company",ceowatchlist,6945601890348436741,520800,2664,122,12,15
"Boeing Company (The) (BA)
Word Searched: company",alertscapital,6945240921302764806,9999,615,9,0,0
"Boston Beer Company, Inc. (The) (SAM)
Word Searched: scam",tikstockkam,6945444646617156869,8305,6216,51,30,2
"Box, Inc. (BOX)
Word Searched: Xbox",theonlynaklas,6945617160127483141,86400,960,86,7,6
"Brown & Brown, Inc. (BRO)",milehightrading,6945616969500560646,172500,1221,55,2,4
"CANNABIX TECHNOLOGIES INC (BLOZF)
Word Searched: Can t",chris.stocks,6945566404825337093,79100,532,54,4,0
"CBAK Energy Technology, Inc. (CBAT)",stockvip,6926323575376858373,178900,91000,5667,261,645
"CD PROJEKT SA UNSPON ADS EACH R (OTGLY)
Word Searched: each",thebuyinking,6940646927092452614,536400,95500,8458,164,193
"CECORS INC (CEOS)
Word Searched: CEO S",iamchanlo,6945610067903253766,32300,443,12,2,1
"CHARLIES HOLDINGS INC (CHUC)
Word Searched: Charli",stockstv,6896942242049674501,2373,633,15,4,0
"CMC Crypto 200 Index by Solacti (^CMC200)
Word Searched: CRYPTO",realjaypelle,6942936718630751493,56000,11400,394,109,22
"CMC Crypto 200 Index by Solacti (^CMC200)
Word Searched: crypto",vinstock,6945488160184880389,43600,374,28,15,7
"CNI NP OFFERING (399428.SZ)
Word Searched: offer",investing_with_mike,6945591091118886150,77000,275,19,11,0
CNOOC Limited (CEO),ceowatchlist,6945601890348436741,520800,2664,122,12,15
"COMANY INC (7945.T)
Word Searched: comany",ceowatchlist,6945601890348436741,520800,2664,122,12,15
"CREATING ALPHA-GERM.CH.EO (2IM1.MU)
Word Searched: Creating",finance_tiktok,6923281503979916550,21700,3831,36,4,0
"CRYOMAX COOLING SYSTEM CORP (1587.TW)
Word Searched: Cooling",profitsniper,6931992670873062661,7011,7114,124,9,7
"CURRENCYWORKS INC (CWRK)
Word Searched: currency",assetorg,6945533563458620678,128700,5287,782,53,25
"Cambria Cannabis ETF (TOKE)
Word Searched: Token",chris.stocks,6945566404825337093,79100,532,54,4,0
"Canadian Solar Inc. (CSIQ)
Word Searched: Canadian",profitsniper,6931992670873062661,7011,7114,124,9,7
"Cancer Genetics, Inc. (CGIX)
Word Searched: CANCER",sodapreneur,6937789671447612678,7149,6279,234,31,63
Canoo Inc. (GOEV),quicktrades,6945487838226025734,31600,154,5,0,0
"Canoo Inc. (GOEV)
Word Searched: goes",finance_tiktok,6923281503979916550,21700,3831,36,4,0
"Canoo Inc. (GOEV)
Word Searched: goes",gavin_mayo,6945607104044502278,252300,1527,67,4,3
"Canopy Growth Corporation (CGC)
Word Searched: growth",alertscapital,6945240921302764806,9999,615,9,0,0
Capstone Therapeutics Corp. (CAPS),stockrogue,6932552320605605125,42400,3529,89,16,2
"Casper Sleep Inc. (CSPR)
Word Searched: Sleep",optionscapital,6940077432586194182,17300,1324,37,2,2
"Catalyst Insider Buying Fd Cl A (INSAX)
Word Searched: BUYING",sodapreneur,6937789671447612678,7149,6279,234,31,63
"Catalyst Insider Buying Fd Cl A (INSAX)
Word Searched: BUYING",erikbotoss,6941779137254280453,4325,6085,138,57,12
"Catalyst Insider Buying Fd Cl A (INSAX)
Word Searched: Buying",bullishbetter,6945621193626029318,48300,219,9,0,0
"Catalyst Insider Buying Fd Cl A (INSAX)
Word Searched: Buying",alertscapital,6945240921302764806,9999,615,9,0,0
"Catalyst Insider Buying Fd Cl A (INSAX)
Word Searched: buying",stocksfix,6934401350012800261,4909,2791,53,10,1
"Catalyst Insider Buying Fd Cl A (INSAX)
Word Searched: buying",coincapital,6941527451809959174,3569,1056,24,0,1
"Catalyst Insider Buying Fd Cl A (INSAX)
Word Searched: buying",milehightrading,6945616969500560646,172500,1221,55,2,4
"Catalyst Insider Income Fund Cl (IIXIX)
Word Searched: INSIDER",sodapreneur,6937789671447612678,7149,6279,234,31,63
"Catalyst Insider Income Fund Cl (IIXIX)
Word Searched: insider",ceowatchlist,6945601890348436741,520800,2664,122,12,15
"CeCors, Inc. (CEOS)",ceowatchlist,6945601890348436741,520800,2664,122,12,15
"Cellectis S.A. (CLLS)
Word Searched: CALLS",investodaily,6945163169191021829,13500,521,25,5,3
"Cellectis S.A. (CLLS)
Word Searched: CELLS",sodapreneur,6937789671447612678,7149,6279,234,31,63
"Cellectis S.A. (CLLS)
Word Searched: calls",the_teacher17,6944430893675121925,8220,359,8,0,0
"Cellectis S.A. (CLLS)
Word Searched: calls",nitrotrades,6944062785915473157,13100,1069,27,11,4
"Cellectis S.A. (CLLS)
Word Searched: calls",financialclout,6942226040957832454,11600,4272,233,5,6
"Celsius Holdings, Inc. (CELH)",alertscapital,6945240921302764806,9999,615,9,0,0
"Celsius Holdings, Inc. (CELH)
Word Searched: Celsius",alertscapital,6945240921302764806,9999,615,9,0,0
"Centre American Select Equity F (DHANX)
Word Searched: Thanx",llamas1115,6940026359137766662,797,192,6,10,2
"Charles Schwab Corporation (The (SCHW)
Word Searched: Charles",stockswallet,6945449522604543238,18800,4226,134,18,20
"Chewy, Inc. (CHWY)",beermonies_trading,6934871830276607237,2326,331,30,0,1
Churchill Capital Corp IV (CCIV),stockvip,6926323575376858373,178900,91000,5667,261,645
Churchill Capital Corp IV (CCIV),launchpadstocks,6934782697302756614,1793,240,7,2,1
"Cloudflare, Inc. (NET)",ceowatchlist,6945601890348436741,520800,2664,122,12,15
"Clover Health Investments, Corp (CLOV)
Word Searched: Invest",mainstreetwolf,6945591070872849669,257600,2132,164,11,4
"Clovis Oncology, Inc. (CLVS)
Word Searched: Oncology",jefethestockguru,6945065513743633669,24800,2050,59,6,12
"Coca-Cola Company (The) (KO)
Word Searched: Yo",milehightrading,6945616969500560646,172500,1221,55,2,4
"Cogent Biosciences, Inc. (COGT)",beermonies_trading,6934871830276607237,2326,331,30,0,1
Columbia Multi-Sector Municipal Income ETF (MUST),fourtoeight,6943805159575178501,1100000,53600,3702,117,145
"Conformis, Inc. (CFMS)
Word Searched: CFOs",ceowatchlist,6945601890348436741,520800,2664,122,12,15
"Cornerstone Total Return Fund,  (CRF)
Word Searched: Return",benbraveoak,6942598330513902854,13700,12000,357,25,26
"Costco Wholesale Corporation (COST)
Word Searched: costs",flextrading,6944888935579520262,4093,4830,174,11,23
"Costco Wholesale Corporation (COST)
Word Searched: lost",financialclout,6942226040957832454,11600,4272,233,5,6
"Costco Wholesale Corporation (COST)
Word Searched: who",milehightrading,6945616969500560646,172500,1221,55,2,4
"DANSKE BANK A/S (DNKEY)
Word Searched: Donkey",benpryor_,6943688165102308614,255500,21800,1726,33,5
"DB Gold Short ETN due February  (DGZ)
Word Searched: February",stockvip,6926323575376858373,178900,91000,5667,261,645
DMG Blockchain Solutions Inc. (DMGGF),profitsniper,6931992670873062661,7011,7114,124,9,7
"DONGHUA TESTING TE (300354.SZ)
Word Searched: Don t",hccapital,6945634956500585734,46500,91,5,0,0
"DONGHUA TESTING TE (300354.SZ)
Word Searched: Don t",investing_with_mike,6945591091118886150,77000,275,19,11,0
"DONGHUA TESTING TE (300354.SZ)
Word Searched: don t",stockmarket_507,6934532298616360198,4647,1986,52,6,8
"DONGHUA TESTING TE (300354.SZ)
Word Searched: don t",alcidesvla,6943935323365805317,12900,84600,1033,242,199
"DONGHUA TESTING TE (300354.SZ)
Word Searched: don t",milehightrading,6945616969500560646,172500,1221,55,2,4
"Dave & Buster's Entertainment,  (PLAY)
Word Searched: Plays",thestockexperience,6935440626443980038,16700,22600,1016,34,197
"Dave & Buster's Entertainment,  (PLAY)
Word Searched: plays",stocktalkk,6944905981134376198,1884,1368,29,10,2
"Dave & Buster's Entertainment,  (PLAY)
Word Searched: plays",flextrading,6944888935579520262,4093,4830,174,11,23
