stock_name,user_name,video_id,followers,views,likes,comments,shares
 (APP),theonlynaklas,6945617160127483141,86400,6753,672,17,50
 (BOG),gavin_mayo,6947405247862131973,252000,1573,71,16,5
 (CHAT),stockswithjack,6946011946164505858,17800,5557,560,35,4
 (DAY),surgeyyyy,6929638914747632901,282700,151200,20100,938,102
 (DAY),stockswings,6940030483480759557,61400,6028,169,36,9
 (IV),rudaman,6945929212272479494,3696,300,25,2,4
 (ME),stockstv,6896942242049674501,2373,634,15,4,0
 (MICROSOFT),stockmarketuniversity,6947154753776340229,3021,2817,67,4,5
 (NEWS),stockinvestors,6935593005105548549,22300,3038,70,11,18
 (NEWS),mr.investr,6946994794778381573,79600,28600,1091,122,301
 (NFT),flash.trades,6946441263553973510,2267,43,4,0,0
 (ONES),spacs.ai,6932620674951384326,28000,3206,130,36,41
 (ONES),assetentities,6946670694289706245,517800,31100,2849,68,18
 (PAID),llamas1115,6940026359137766662,798,194,6,10,2
 (PART),investwithruss,6947314550253423878,96000,4520,214,16,6
 (PAUL),investwithruss,6947314550253423878,96000,4520,214,16,6
 (PC),theonlynaklas,6945617160127483141,86400,6753,672,17,50
 (TAB),llamas1115,6940026359137766662,798,194,6,10,2
 (THIS),stockrogue,6932552320605605125,42400,3620,91,16,2
 (THIS),coletrades,6939292324946119941,3516,1622,18,14,0
 (THIS),investing_with_mike,6946702230124973317,77100,723,34,5,0
 (THIS),thelaptoplegend,6934173585376431365,128800,8028,516,26,8
 (TILL),thetaclub,6929260998390041862,2329,2950,32,6,23
 (TOP),thestockhub,6947244459490921733,78000,2271,74,6,1
"00NFHARVEST HEALTHCARE LEADERS  (HHL.TO)
Word Searched: leader",notkamel,6945941658466848006,26000,93100,7344,109,514
"1-800-FLOWERS.COM, Inc. (FLWS)
Word Searched: Flaws",marketafterhours,6945403619831336198,6058,494,21,3,4
11734365 (Q),stockswallet,6947044408890051845,19400,6376,260,20,35
"13 WEEK TREASURY BILL (^IRX)
Word Searched: WEEK",penny.lifestyles,6947461721686641925,176400,956,83,2,4
130729 (SOLD),llamas1115,6940026359137766662,798,194,6,10,2
130729 (SOLD),theonlynaklas,6945617160127483141,86400,6753,672,17,50
14900 (HARD),stockrogue,6932552320605605125,42400,3620,91,16,2
178110 (GET),markettrader_official,6947392861042167046,278800,4829,708,23,7
19955 (ETF),stockinvestors,6935593005105548549,22300,3038,70,11,18
2117 (TO),investwithruss,6947314550253423878,96000,4520,214,16,6
26028 (DRAM),notkamel,6945941658466848006,26000,93100,7344,109,514
33352 (RENT),thebuyinking,6940646927092452614,535900,99700,8691,169,198
33352 (RENT),fourtoeight,6945936407730932998,1100000,95100,14600,94,304
4397 (NY),highleyinvested,6946908526124092677,38700,902,76,1,1
47300 (IF),investing_with_mike,6946702230124973317,77100,723,34,5,0
