stock_name,user_name,video_id,followers,views,likes,comments,shares
 (APP),invest.stocks,6940636428133076230,109000,4275,371,16,16
 (BTC),stocksfeed,6939731961762073862,71900,5674,328,11,19
 (BTC),thestockhub,6940676520700660997,73800,14800,1041,33,30
 (BTC),investodaily,6940708690198564102,13400,1313,41,3,9
 (BTC),rudaman,6940408257823444230,3463,1961,93,4,10
 (CHAT),noremacnewelltrading,6938455267466038534,30500,7327,137,43,4
 (COIN),bullishbetter,6940610783705435398,46000,3377,171,37,25
 (DAY),surgeyyyy,6929638914747632901,283600,144600,19700,836,96
 (DAY),stockswings,6940030483480759557,61600,3803,135,18,6
 (EX),marketafterhours,6940415878655675653,5748,3991,51,4,4
 (FULL),coincapital,6935149838841531653,3563,238,15,0,3
 (GREY),coincapital,6935149838841531653,3563,238,15,0,3
 (IN),investwithruss,6940684504789011718,90300,37400,1434,95,60
 (IV),mainstreetwolf,6940774618357714181,257300,591,48,4,1
 (JEFF),stockstrader,6924867648434097414,5441,370,8,1,0
 (JOIN),noremacnewelltrading,6938455267466038534,30500,7327,137,43,4
 (ME),stockstv,6896942242049674501,2376,627,15,4,0
 (ME),tikstockkam,6940244739056782598,8343,2377,60,25,0
 (ME),brotherhood.finance,6938405182166355206,14300,2426,238,19,22
 (NASDAQ),greentradesonly,6940675157652442373,20100,506,23,5,1
 (NEWS),stockinvestors,6935593005105548549,22100,2563,58,10,15
 (NFT),investodaily,6940708690198564102,13400,1313,41,3,9
 (NFT),theonlynaklas,6940406762407349510,86600,23000,1579,78,420
 (ONES),spacs.ai,6932620674951384326,28100,2967,120,34,40
 (PAID),llamas1115,6940026359137766662,804,177,6,10,2
 (PAID),rudaman,6940408257823444230,3463,1961,93,4,10
 (PART),fourtoeight,6940064782565379334,1100000,47100,4975,103,198
 (TAB),llamas1115,6940026359137766662,804,177,6,10,2
 (THEM),stockswallet,6940728029555461381,16800,1717,77,2,14
 (THEM),hccapital,6940441093779508485,46500,535,30,4,1
 (THIS),stockrogue,6932552320605605125,42300,3167,81,13,2
 (THIS),bullishbetter,6940610783705435398,46000,3377,171,37,25
 (THIS),stocktalk76,6940728487980354821,45100,529,20,4,0
 (THIS),coletrades,6939292324946119941,3529,1446,17,6,0
 (THIS),mok.investments,6940424674245479686,4372,2282,38,15,7
 (THIS),calltoleap,6940438319054523654,732700,38900,3407,101,52
 (THIS),thelaptoplegend,6934173585376431365,128900,7541,502,23,8
 (THIS),markettrader_official,6940705243218939141,279700,2498,160,13,11
 (TILL),thetaclub,6929260998390041862,2320,2933,30,6,23
 (TOP),momentfinance,6937132561906846982,1716,248,5,0,0
 (YES),milehighmoney,6935996559133887750,18400,3321,50,16,2
109837 (FED),mok.investments,6940424674245479686,4372,2282,38,15,7
109837 (FED),marketafterhours,6940415878655675653,5748,3991,51,4,4
111068 (SMA),hccapital,6940441093779508485,46500,535,30,4,1
12293 (APES),stockswallet,6940728029555461381,16800,1717,77,2,14
"13 WEEK TREASURY BILL (^IRX)
Word Searched: week",the_teacher17,6940717282117127429,8164,260,12,2,0
"13 WEEK TREASURY BILL (^IRX)
Word Searched: week",darkhorseplays,6940335263512005893,6125,620,30,1,0
"13 WEEK TREASURY BILL (^IRX)
Word Searched: week",thewallstreetjungle,6938523692024548613,23900,776,33,0,0
130729 (SOLD),llamas1115,6940026359137766662,804,177,6,10,2
130729 (SOLD),markettrader_official,6940705243218939141,279700,2498,160,13,11
14900 (HARD),stockrogue,6932552320605605125,42300,3167,81,13,2
19955 (ETF),greentradesonly,6940675157652442373,20100,506,23,5,1
19955 (ETF),stockinvestors,6935593005105548549,22100,2563,58,10,15
2117 (TO),matthewhirayama,6928132692047432965,7934,113600,6982,273,86
33352 (RENT),thebuyinking,6940646927092452614,537900,31300,2969,97,71
412650 (TOM),coincapital,6935149838841531653,3563,238,15,0,3
47300 (IF),investwithruss,6940684504789011718,90300,37400,1434,95,60
58911 (GOT),milehighmoney,6935996559133887750,18400,3321,50,16,2
58911 (GOT),llamas1115,6940026359137766662,804,177,6,10,2
890019 (IM),assetorg,6937829967329873157,129200,31400,3137,77,70
890019 (IM),llamas1115,6940026359137766662,804,177,6,10,2
890019 (IM),stockswings,6940030483480759557,61600,3803,135,18,6
890019 (IM),erikbotoss,6938499665398648070,4292,1451,25,4,1
94919 (RATE),alertscapital,6940738440413580550,8613,3022,12,0,0
"ADT 1680 Convertible and Income (CONVIX)
Word Searched: Convid",jefethestockguru,6939030377621228806,24800,1341,35,5,1
"ADVICENNE (ADVIC.PA)
Word Searched: advice",highleyinvested,6940757663760272646,38500,277,52,4,2
"ADVICENNE (ADVIC.PA)
Word Searched: advice",thebuyinking,6940646927092452614,537900,31300,2969,97,71
"ADYEN NV UNSPON ADS EACH REP 0. (ADYEY)
Word Searched: each",thebuyinking,6940646927092452614,537900,31300,2969,97,71
"AGFiQ U.S. Market Neutral Value (CHEP)
Word Searched: cheap",spacs.ai,6932620674951384326,28100,2967,120,34,40
"AHLUWALIA CONTRACTS (INDIA) LT (AHLUCONT.BO)
Word Searched: contracts",nimbletradingio,6940345764358950149,2678,237,25,0,5
"AIM RITE HOLDS CORP (AIMH)
Word Searched: holds",coletrades,6939292324946119941,3529,1446,17,6,0
"AKERO THEREP.INC.DL-,0001 (0K4.BE)
Word Searched: There",investwithruss,6940684504789011718,90300,37400,1434,95,60
"AKERO THEREP.INC.DL-,0001 (0K4.BE)
Word Searched: there",calltoleap,6940438319054523654,732700,38900,3407,101,52
"ALR TECHNOLOGIES INC (ALRT)
Word Searched: ALERT",benpryor_,6940763665041755397,255200,11800,1272,41,111
"ALR TECHNOLOGIES INC (ALRT)
Word Searched: ALERT",figuringoutmoney,6939588877724241157,268800,18300,811,47,80
"AMARA RAJA BATTERIES LTD. (AMARAJABAT.BO)
Word Searched: batteries",stockvip,6926323575376858373,179500,89700,5654,212,643
"AMC Entertainment Holdings, Inc (AMC)
Word Searched: Holding",millionaire_mindset15,6925298030384139525,4023,614,9,1,2
"AMC Entertainment Holdings, Inc (AMC)
Word Searched: I",timeforbusiness2,6938573223609076998,59400,2213,70,7,3
"AMC Entertainment Holdings, Inc (AMC)
Word Searched: I",spacs.ai,6932620674951384326,28100,2967,120,34,40
"AMC Entertainment Holdings, Inc (AMC)
Word Searched: I",stockstok,6926183877455154438,5592,291,12,1,1
"AMC Entertainment Holdings, Inc (AMC)
Word Searched: I",bullishbetter,6940610783705435398,46000,3377,171,37,25
"AMC Entertainment Holdings, Inc (AMC)
Word Searched: I",stockmarket_507,6934532298616360198,4639,1920,51,6,8
"AMC Entertainment Holdings, Inc (AMC)
Word Searched: I",millionaire_mindset15,6925298030384139525,4023,614,9,1,2
"AMC Entertainment Holdings, Inc (AMC)
Word Searched: I",alexdaytrader,6918068042111012102,6550,2856,48,8,1
"AMC Entertainment Holdings, Inc (AMC)
Word Searched: I",assetorg,6937829967329873157,129200,31400,3137,77,70
"AMC Entertainment Holdings, Inc (AMC)
Word Searched: I",thetaclub,6929260998390041862,2320,2933,30,6,23
"AMC Entertainment Holdings, Inc (AMC)
Word Searched: I",flextrading,6939695182514261253,3582,3871,110,17,24
"AMC Entertainment Holdings, Inc (AMC)
Word Searched: I",calltoleap,6940438319054523654,732700,38900,3407,101,52
"AMC Entertainment Holdings, Inc (AMC)
Word Searched: I",tradingwithchristian,6932638179094760709,1219,427,9,0,0
"AMC Entertainment Holdings, Inc (AMC)
Word Searched: I",milehighmoney,6935996559133887750,18400,3321,50,16,2
"AMC Entertainment Holdings, Inc (AMC)
Word Searched: I",llamas1115,6940026359137766662,804,177,6,10,2
"AMC Entertainment Holdings, Inc (AMC)
Word Searched: I",stocktrickswithnick,6940398320187641094,35400,2221,64,13,1
"AMC Entertainment Holdings, Inc (AMC)
Word Searched: I",ashton_noland,6938823510970223877,77000,24500,1743,197,267
"AMC Entertainment Holdings, Inc (AMC)
Word Searched: I",letstalkinvesting,6940010593365675270,107100,8442,604,20,72
"AMC Entertainment Holdings, Inc (AMC)
Word Searched: holdings",millionaire_mindset15,6925298030384139525,4023,614,9,1,2
