stock_name,user_name,video_id,followers,views,likes,comments,shares
"AMC Entertainment Holdings, Inc (AMC)
Word Searched: I",thetaclub,6929260998390041862,2320,2934,30,6,23
"AMC Entertainment Holdings, Inc (AMC)
Word Searched: I",flextrading,6939695182514261253,3584,3892,111,17,24
"AMC Entertainment Holdings, Inc (AMC)
Word Searched: I",calltoleap,6940824900215033093,733100,30500,2793,95,129
"AMC Entertainment Holdings, Inc (AMC)
Word Searched: I",tradingwithchristian,6932638179094760709,1219,427,9,0,0
"AMC Entertainment Holdings, Inc (AMC)
Word Searched: I",milehighmoney,6935996559133887750,18500,3365,52,16,2
"AMC Entertainment Holdings, Inc (AMC)
Word Searched: I",llamas1115,6940026359137766662,803,178,6,10,2
"AMC Entertainment Holdings, Inc (AMC)
Word Searched: I",stocktrickswithnick,6940398320187641094,35400,2373,71,14,1
"AMC Entertainment Holdings, Inc (AMC)
Word Searched: I",ashton_noland,6938823510970223877,77000,25700,1830,198,276
"AMC Entertainment Holdings, Inc (AMC)
Word Searched: I",letstalkinvesting,6940010593365675270,107100,8899,637,20,77
"AMC Entertainment Holdings, Inc (AMC)
Word Searched: I",bugs.money,6940804661494418694,3733,1393,27,2,1
"AMC Entertainment Holdings, Inc (AMC)
Word Searched: holdings",millionaire_mindset15,6925298030384139525,4023,615,9,1,2
"AMC Entertainment Holdings, Inc (AMC)
Word Searched: i",coletrades,6939292324946119941,3530,1454,17,7,0
"AMC Entertainment Holdings, Inc (AMC)
Word Searched: i",thebuyinking,6940646927092452614,537900,44300,4311,113,102
"AMC Entertainment Holdings, Inc (AMC)
Word Searched: i",tradingwithchristian,6932638179094760709,1219,427,9,0,0
"AMC Entertainment Holdings, Inc (AMC)
Word Searched: i",llamas1115,6940026359137766662,803,178,6,10,2
"AMC Entertainment Holdings, Inc (AMC)
Word Searched: i",markettrader_official,6940705243218939141,279700,7236,353,19,16
"AMC Entertainment Holdings, Inc. (AMC)",oscarwulfff,6935241744531590406,7864,25000,1473,50,409
"AMC Entertainment Holdings, Inc. (AMC)",stockswallet,6940728029555461381,16800,4048,213,13,32
"AMC Entertainment Holdings, Inc. (AMC)",apexoptionstrading,6922275199069031686,1375,3008,19,3,2
"AMC Entertainment Holdings, Inc. (AMC)",thekidinvestor,6940410701030673669,48200,12000,383,13,11
"AMC Entertainment Holdings, Inc. (AMC)",brunopamfilio,6933008593000156422,1284,3070,177,37,6
"AMC Entertainment Holdings, Inc. (AMC)",tradelikegates,6940740376441392390,28500,12800,433,31,69
"ANHUI WANWEI UPDATED HIGH-TECH  (600063.SS)
Word Searched: Update",slater_trades,6940413376514313477,32200,2693,62,13,2
"ANHUI WANWEI UPDATED HIGH-TECH  (600063.SS)
Word Searched: updated",millionaire_mindset15,6925298030384139525,4023,615,9,1,2
"APRI (APRI)
Word Searched: April",thestockhub,6940676520700660997,73900,19800,1504,36,40
"ARIANNE PHOSPHATE INC (DAN.V)
Word Searched: phosphate",stockvip,6926323575376858373,179400,89700,5655,212,643
ARK Innovation ETF (ARKK),mikeoptions,6940742393868193029,7199,185,12,0,0
ARK Innovation ETF (ARKK),thediamondhandz,6940810105168366854,52600,1179,81,0,2
"ARTIFICIAL INTELLIGENC TECH SOL (AITX)
Word Searched: artificial",coincapital,6935149838841531653,3563,240,15,0,3
"ATDED (ATDED)
Word Searched: added",stockmarket_507,6934532298616360198,4642,1924,51,6,8
"Academy Sports and Outdoors, In (ASO)
Word Searched: Sports",austinhankwitz,6940416078606601477,480800,11800,494,39,4
"Academy Sports and Outdoors, In (ASO)
Word Searched: sports",millionaire_mindset15,6925298030384139525,4023,615,9,1,2
Acasti Pharma Inc. (ACST),aceinvestments,6939615287750774021,60200,15400,790,66,104
"Accelerate Diagnostics, Inc. (AXDX)
Word Searched: accelerate",coincapital,6935149838841531653,3563,240,15,0,3
"Advanced Micro Devices, Inc. (AMD)",calltoleap,6940824900215033093,733100,30500,2793,95,129
AdvisorShares Alpha DNA Equity Sentiment ETF (SENT),nimbletradingio,6940345764358950149,2678,240,25,0,5
